time,delay_sec
89.2255,0.0155069
89.2259,0.0159278
89.2301,0.0151226
89.2305,0.0155232
89.2309,0.0159441
89.2351,0.0151078
89.2355,0.0155084
89.2359,0.0159292
89.2401,0.015124
89.2405,0.0155246
89.2409,0.0159455
89.2451,0.0151091
89.2455,0.0155098
89.2459,0.0159306
89.2501,0.0151253
89.2505,0.0155261
89.2509,0.0159469
89.2551,0.0151104
89.2555,0.0155113
89.2559,0.0159321
89.2601,0.0151266
89.2605,0.0155275
89.2609,0.0159483
89.2651,0.0151118
89.2655,0.0155127
89.2701,0.0151449
89.2705,0.0155459
89.271,0.0159667
89.2751,0.0150932
89.2755,0.0154943
89.2759,0.0159151
89.2801,0.0150868
89.2805,0.0154879
89.2809,0.0159398
89.2851,0.0151115
89.2855,0.0155127
89.2859,0.0159334
89.2901,0.015074
89.2905,0.0154752
89.2908,1.57583
89.2909,0.015927
89.2919,0.021929
89.2949,1.57486
89.2951,0.0150987
89.2955,0.0155
89.2959,0.0159207
89.2989,1.57388
89.3001,0.0150838
89.3005,0.0154852
89.3009,0.0159369
89.3029,1.57293
89.3049,1.56993
89.3051,0.0151
89.3055,0.0155014
89.3059,0.0159221
89.309,1.56899
89.3101,0.0150851
89.3105,0.0154866
89.3109,0.0159384
89.313,1.56801
89.3151,0.0151013
89.3153,0.0402853
89.3155,0.0155029
89.3159,0.0159235
89.3182,1.56822
89.3193,0.0393147
89.3201,0.0150949
89.3202,1.56523
89.3205,0.0154881
89.3209,0.0159171
89.3234,0.038361
89.3243,1.56427
89.3251,0.0151111
89.3255,0.0155043
89.3259,0.0159334
89.3274,0.0373904
89.3283,1.5633
89.3301,0.0150962
89.3305,0.0154895
89.3309,0.0159186
89.3314,0.0364197
89.3323,1.56233
89.3334,0.0334273
89.3351,0.0151125
89.3355,0.0155058
89.3359,0.0159348
89.3364,1.56136
89.3375,0.0324567
89.3384,1.5584
89.3401,0.0150976
89.3405,0.015491
89.3409,0.01592
89.3415,0.0314861
89.3424,1.55743
89.3451,0.0151138
89.3455,0.0155073
89.3455,0.0305465
89.3459,0.0159363
89.3465,1.55646
89.3496,0.0295759
89.3501,0.0150989
89.3505,0.0154924
89.3509,0.0159214
89.3551,0.0151151
89.3555,0.0155087
89.3559,0.0159377
89.3601,0.0151002
89.3605,0.0154939
89.3609,0.0159228
89.3637,0.0236716
89.3646,1.54961
89.3651,0.0151165
89.3655,0.0155102
89.3677,0.0227321
89.3686,1.54864
89.3701,0.0151185
89.3705,0.0155123
89.3709,0.0159412
89.3718,0.0217615
89.3727,1.54767
89.3747,1.5447
89.3751,0.015129
89.3755,0.0155228
89.376,0.0159518
89.3778,0.02279
89.3787,1.54373
89.3801,0.0150915
89.3805,0.0155165
89.3809,0.0159143
89.3819,0.0218505
89.3828,1.54276
89.3851,0.0151162
89.3855,0.0155101
89.3859,0.015939
89.3868,1.54178
89.3879,0.022879
89.3901,0.0151098
89.3905,0.0155038
89.3908,1.54081
89.3909,0.0159327
89.3919,0.0219083
89.3951,0.0151034
89.3955,0.0154974
89.396,0.0159574
89.4001,0.0151196
89.4005,0.0155137
89.4009,0.0159425
89.4051,0.0151047
89.4055,0.0154989
89.406,0.0159588
89.4101,0.0151209
89.4105,0.0155152
89.4109,0.015944
89.4151,0.015106
89.4155,0.0155003
89.416,0.0159602
89.4201,0.0150996
89.4205,0.0155166
89.4209,0.0159228
89.4233,0.0383403
89.4243,1.52928
89.4251,0.0150847
89.4255,0.0155018
89.4259,0.015939
89.4274,0.0373697
89.4283,1.52831
89.4301,0.015101
89.4303,1.52531
89.4305,0.0155181
89.4309,0.0159242
