time_sec,fading_linear
64.6561,0.867789
64.6661,0.836005
64.6701,0.808012
64.7161,0.729407
64.7661,0.855723
64.7701,0.872176
64.8161,1.18493
64.8261,1.27682
64.8361,1.23639
64.8461,1.19617
64.8561,1.22314
64.8661,1.17462
64.8701,1.12847
64.9161,0.957552
64.9661,0.985025
64.9701,0.998377
65.0161,0.994636
65.0261,1.0565
65.0361,1.20042
65.0461,1.21026
65.0561,1.12871
65.0661,1.17292
65.0701,1.21581
65.1161,1.07828
65.1661,0.834664
65.1701,0.830737
65.2161,0.710328
65.2261,0.664258
65.2361,0.711241
65.2461,0.744498
65.2561,0.685979
65.2661,0.726896
65.2701,0.79552
65.3161,1.00954
65.3661,0.929587
65.3701,0.925484
65.4161,0.801224
65.4261,0.729158
65.4361,0.574469
65.4461,0.574644
65.4561,0.634059
65.4661,0.559785
65.4701,0.522639
65.5161,0.753182
65.5661,0.985812
65.5701,1.00755
65.6161,1.17123
65.6261,1.09634
65.6361,1.0228
65.6461,1.1213
65.6561,1.21083
65.6661,1.16269
65.6701,1.13754
65.7161,1.18735
65.7661,1.14652
65.7701,1.13336
65.8161,1.2886
65.8261,1.27408
65.8361,1.27046
65.8461,1.3432
65.8561,1.33466
65.8661,1.27265
65.8701,1.27958
65.9161,1.27855
65.9661,0.990852
65.9701,0.931346
66.0161,0.786697
66.0261,0.882165
66.0362,0.842131
66.0462,0.843047
66.0561,0.915798
66.0661,0.879541
66.0701,0.852119
66.1161,0.898448
66.1661,0.828547
66.1701,0.808771
66.2161,0.922975
66.2261,0.986813
66.2361,0.995415
66.2461,1.03523
66.2561,1.102
66.2661,1.08686
66.2701,1.08002
66.3161,1.1425
66.3662,1.13017
66.3701,1.12331
66.4162,1.03842
66.4262,1.02885
66.4361,1.01371
66.4462,1.04204
66.4562,1.04192
66.4662,1.00243
66.4701,1.00664
66.5161,1.19914
66.5661,1.31063
66.5701,1.29998
66.6162,1.2315
66.6261,1.2983
66.6361,1.19908
66.6461,1.09686
66.6562,1.14085
66.6661,1.1413
66.6701,1.08818
66.7161,0.684655
66.7661,0.645136
66.7701,0.635321
66.8162,0.816066
66.8262,0.909657
66.8362,0.886265
66.8462,0.823189
66.8561,0.914161
66.8662,1.02109
66.8701,1.0124
66.9162,0.79579
66.9662,0.741812
66.9701,0.740869
67.0161,0.679337
67.0262,0.594107
67.0362,0.660782
67.0461,0.718875
67.0561,0.630456
67.0662,0.561062
67.0701,0.576428
67.1162,0.760197
67.1662,0.747641
67.1701,0.730869
67.2162,0.826899
67.2262,0.851288
67.2362,0.931639
67.2462,1.00776
67.2562,0.995704
67.2662,0.954992
67.2701,0.963254
67.3162,1.08875
67.3662,1.09898
67.3701,1.09232
67.4162,1.10087
67.4261,1.13564
67.4362,1.12688
67.4462,1.12122
67.4562,1.15463
67.4661,1.19469
67.4701,1.20357
67.5162,1.19562
67.5662,1.20523
67.5701,1.2693
67.6162,1.22537
67.6262,1.1578
67.6362,1.10032
67.6462,1.14463
67.6562,1.10987
67.6662,1.03155
67.6701,1.02906
67.7162,0.926202
67.7662,0.717533
67.7701,0.718932
67.8162,0.952454
67.8262,0.977895
67.8362,0.91187
67.8462,0.939921
67.8562,0.986755
67.8662,0.982254
67.8701,0.993382
67.9162,1.03398
67.9662,0.982313
67.9702,0.929219
68.0162,1.17753
68.0262,1.27369
68.0362,1.28044
68.0462,1.30256
68.0562,1.37501
68.0662,1.38728
68.0701,1.37812
68.1162,1.44504
68.1662,1.26716
68.1701,1.24466
68.2162,0.994849
68.2262,0.869816
68.2362,0.798477
68.2462,0.910211
68.2562,0.949992
68.2662,0.788405
68.2701,0.735189
68.3162,0.830955
68.3662,0.897191
68.3701,0.876864
68.4162,0.885128
68.4262,0.85194
68.4362,0.759922
68.4462,0.842531
68.4562,0.960901
68.4662,0.877166
68.4701,0.837739
68.5162,1.0442
68.5662,1.3151
68.5702,1.29194
68.6162,1.43765
68.6262,1.6292
68.6362,1.62781
68.6462,1.4753
68.6562,1.46644
68.6662,1.51041
68.6701,1.49002
68.7162,1.20084
68.7662,0.903496
68.7702,0.909572
68.8162,1.07369
68.8262,1.1966
68.8362,1.2255
68.8462,1.19907
68.8562,1.24037
68.8662,1.30691
68.8702,1.31659
68.9162,1.20858
68.9662,1.07228
68.9701,1.04943
69.0162,0.926763
69.0262,0.891121
69.0362,0.839992
69.0462,0.849796
69.0562,0.875301
69.0662,0.848212
69.0701,0.843753
69.1162,1.07018
69.1662,1.53795
69.1702,1.52698
69.2162,1.47406
69.2262,1.4472
69.2362,1.46549
69.2462,1.42535
69.2562,1.38343
69.2662,1.37006
69.2701,1.34881
69.3162,1.16917
69.3662,1.02201
69.3701,1.03618
69.4162,0.955732
69.4262,0.855391
69.4362,0.808576
69.4462,0.823488
69.4562,0.839629
69.4662,0.842885
69.4702,0.839025
69.5162,0.863926
69.5662,0.857886
69.5702,0.881712
69.6162,1.17023
69.6262,1.19343
69.6362,1.17274
69.6462,1.26582
69.6562,1.31729
69.6663,1.26203
69.6702,1.25845
69.7162,1.40161
69.7662,1.31564
69.7702,1.29293
69.8163,1.26009
69.8262,1.32587
69.8362,1.43681
69.8462,1.45839
69.8562,1.38102
69.8663,1.36426
69.8702,1.38804
69.9163,1.19332
69.9662,0.882379
69.9701,0.861705
70.0162,0.723745
70.0263,0.682548
70.0363,0.677509
70.0463,0.694225
70.0563,0.659831
70.0663,0.667248
70.0702,0.709057
70.1162,0.896037
70.1662,1.06771
70.1702,1.09405
70.2162,1.45449
70.2262,1.45118
70.2363,1.29149
70.2463,1.38721
70.2562,1.5399
70.2662,1.4328
70.2702,1.37669
70.3163,1.57194
70.3663,1.71742
70.3702,1.71419
70.4163,1.79211
70.4263,1.78549
70.4363,1.67888
70.4463,1.68565
70.4563,1.77832
70.4663,1.735
70.4702,1.6843
70.5163,1.55255
70.5663,1.41502
70.5702,1.3647
70.6163,1.16057
70.6263,1.15604
70.6362,1.13575
70.6463,1.06195
70.6563,1.0108
70.6663,1.00698
70.6702,1.00564
70.7163,0.964975
70.7663,1.01
70.7702,0.977847
70.8163,1.00628
70.8263,1.07835
70.8363,1.05731
70.8463,1.05274
70.8563,1.08969
70.8663,1.03015
70.8702,0.993386
70.9163,0.831004
70.9663,0.740177
70.9702,0.730136
71.0163,0.729462
71.0263,0.736125
71.0363,0.732768
71.0463,0.707214
71.0563,0.706591
71.0663,0.672411
71.0702,0.650178
71.1163,0.580389
71.1663,0.886185
71.1702,0.913932
71.2163,1.09116
71.2263,1.14172
71.2363,1.22056
71.2463,1.20742
71.2563,1.15975
71.2663,1.19442
71.2702,1.22035
71.3163,1.26526
71.3663,1.20657
71.3702,1.21686
71.4163,1.00769
71.4263,1.01413
71.4363,0.928288
71.4463,0.871686
71.4563,0.915559
71.4663,0.943783
71.4702,0.921728
71.5163,0.898888
71.5663,1.00785
71.5702,1.0141
71.6163,1.05788
71.6263,1.03691
71.6363,0.960893
71.6463,0.906736
71.6563,0.936324
71.6663,0.970778
71.6702,0.963692
71.7163,0.843677
71.7663,0.981725
71.7702,0.985221
71.8163,1.09398
71.8263,1.03806
71.8363,1.16718
71.8463,1.27718
71.8563,1.18079
71.8663,1.1311
71.8702,1.16907
71.9163,1.30704
71.9663,0.948258
71.9702,0.930505
72.0163,0.818569
72.0263,0.745871
72.0363,0.741163
72.0463,0.811516
72.0563,0.776169
72.0663,0.648729
72.0702,0.626811
72.1163,0.649298
72.1663,0.653094
72.1702,0.653117
72.2163,0.830192
72.2263,0.883879
72.2363,0.79611
72.2463,0.822967
72.2563,0.92247
72.2663,0.879199
72.2702,0.847002
72.3163,0.892496
72.3663,1.04353
72.3702,1.07358
72.4163,1.08337
72.4263,1.09197
72.4363,1.05577
72.4463,1.07158
72.4563,1.06149
72.4663,1.02278
72.4702,1.02802
72.5163,1.07754
72.5663,0.893279
72.5702,0.869443
72.6163,0.852017
72.6263,0.872456
72.6363,0.787075
72.6463,0.769782
72.6563,0.827569
72.6663,0.83834
72.6702,0.847306
72.7163,1.17963
72.7663,1.46897
72.7702,1.41731
72.8163,1.58507
72.8263,1.67237
72.8363,1.56691
72.8463,1.48003
72.8563,1.53982
72.8663,1.50103
72.8702,1.4422
72.9163,1.24521
72.9663,1.22083
72.9702,1.2096
73.0163,1.01994
73.0264,0.954782
73.0363,0.940888
73.0463,0.980947
73.0563,0.986507
73.0663,0.881908
73.0702,0.832559
73.1164,0.663617
73.1664,0.711043
73.1702,0.709656
73.2163,0.802058
73.2263,0.811263
73.2363,0.815953
73.2463,0.876341
73.2563,0.94819
73.2663,0.94962
73.2702,0.949372
73.3164,1.14488
73.3663,1.27593
73.3702,1.24261
73.4163,1.1163
