time_sec,sinr_db
4.26454,4.50388
4.26478,4.83906
4.26481,3.87125
4.2667,8.66657
4.26809,4.60275
4.26958,4.50177
4.26983,4.84029
4.26986,3.87345
4.31165,8.6772
4.31304,4.58397
4.31454,4.48266
4.31478,4.85137
4.31481,3.89315
4.36168,8.68896
4.36307,4.56305
4.36456,4.4613
4.3648,4.86367
4.36484,3.91495
4.36666,8.69013
4.36805,4.56096
4.36955,4.45916
4.36979,4.8649
4.36982,3.91712
4.41168,8.70066
4.412,8.70066
4.41307,4.54208
4.41339,4.54166
4.41456,4.43982
4.41481,4.87594
4.41484,3.93665
4.41513,4.87594
4.46168,8.71231
4.46307,4.52106
4.46456,4.4182
4.46481,4.8882
4.46484,3.95827
4.46667,8.71347
4.46805,4.51895
4.46955,4.41604
4.46979,4.88942
4.46983,3.96042
4.51165,8.72389
4.51304,4.49997
4.51453,4.39646
4.51478,4.90043
4.51481,3.97979
4.56168,8.73542
4.56306,4.47883
4.56456,4.37458
4.5648,4.91265
4.56484,4.00121
4.56669,8.73657
4.56808,4.47671
4.56957,4.37238
4.56982,4.91387
4.56985,4.00335
4.61168,8.7469
4.612,8.7469
4.61307,4.45763
4.61338,4.4572
4.61456,4.35257
4.6148,4.92484
4.61484,4.02255
4.61512,4.92484
4.66168,8.75832
4.66307,4.43637
4.66456,4.33042
4.66481,4.93701
4.66484,4.0438
4.66666,8.75946
4.66805,4.43424
4.66955,4.32819
4.66979,4.93823
4.66982,4.04592
4.71168,8.76968
4.71307,4.41506
4.71456,4.30813
4.71481,4.94917
4.71484,4.06496
4.76171,8.78099
4.76309,4.39368
4.76459,4.2857
4.76483,4.9613
4.76487,4.08603
4.76669,8.78211
4.76808,4.39154
4.76957,4.28345
4.76982,4.96251
4.76985,4.08813
4.81168,8.79224
4.812,8.79224
4.81306,4.37225
4.81338,4.37182
4.81456,4.26313
4.8148,4.97342
4.81484,4.10701
4.81512,4.97342
4.86168,8.80344
4.86306,4.35075
4.86456,4.24042
4.8648,4.98551
4.86484,4.12791
4.8667,8.80455
4.86808,4.3486
4.86958,4.23814
4.86982,4.98672
4.86985,4.12999
4.91168,8.81458
4.91307,4.3292
4.91456,4.21757
4.91481,4.99758
4.91484,4.14872
4.96171,8.82567
4.96309,4.30759
4.96458,4.19457
4.96483,5.00964
4.96486,4.16944
4.96669,8.82678
4.96808,4.30542
4.96957,4.19226
4.96981,5.01084
4.96985,4.17151
5.01171,8.83671
5.01203,8.83671
5.01309,4.28591
5.01341,4.28548
5.01459,4.17142
5.01483,5.02167
5.01486,4.19008
5.01515,5.02167
5.06168,8.84769
5.06306,4.26418
5.06456,4.14813
5.0648,5.03368
5.06483,4.21064
5.06666,8.84879
5.06805,4.262
5.06954,4.14579
5.06979,5.03489
5.06982,4.21269
5.11168,8.85862
5.11306,4.24238
5.11456,4.12468
5.1148,5.04568
5.11484,4.23111
5.16167,8.8695
5.16306,4.22052
5.16455,4.10108
5.1648,5.05765
5.16483,4.2515
5.16669,8.87059
5.16807,4.21833
5.16957,4.09871
5.16981,5.05885
5.16985,4.25354
5.21171,8.88033
5.21203,8.88033
5.21309,4.1986
5.21341,4.19816
5.21458,4.07733
5.21483,5.06961
5.21486,4.27181
5.21515,5.06961
5.26171,8.89111
5.26309,4.17662
5.26458,4.05342
5.26483,5.08155
5.26486,4.29204
5.26669,8.89218
5.26808,4.17442
5.26957,4.05102
5.26982,5.08274
5.26985,4.29406
5.31168,8.90183
5.31306,4.15458
5.31456,4.02935
5.3148,5.09346
5.31483,4.31219
5.36167,8.91251
5.36306,4.13247
5.36455,4.00512
5.36479,5.10536
5.36483,4.33226
5.36672,8.91357
5.3681,4.13025
5.3696,4.00269
5.36984,5.10655
5.36987,4.33426
5.41171,8.92313
5.41203,8.92313
5.41309,4.11029
5.41341,4.10985
5.41458,3.98073
5.41483,5.11724
5.41486,4.35224
5.41515,5.11724
5.46171,8.93371
5.46309,4.08806
5.46458,3.95618
5.46483,5.1291
5.46486,4.37215
5.46669,8.93476
5.46808,4.08583
5.46957,3.95372
5.46981,5.13028
5.46985,4.37414
5.51171,8.94423
5.51309,4.06575
5.51458,3.93146
5.51483,5.14094
5.51486,4.39199
5.5617,8.95471
5.56309,4.04339
5.56458,3.90658
5.56482,5.15276
5.56486,4.41174
5.56669,8.95576
5.56807,4.04115
5.56956,3.90408
5.56981,5.15394
5.56984,4.41371
5.61171,8.96514
5.61203,8.96514
5.61309,4.02095
5.61341,4.0205
5.61458,3.88152
5.61483,5.16456
5.61486,4.43142
5.6149,3.88152
5.61514,5.16456
5.61518,4.43142
5.66174,8.97552
5.66312,3.99845
5.66461,3.85629
5.66486,5.17634
5.66489,4.45102
5.66669,8.97655
5.66807,3.9962
5.66956,3.85376
5.66981,5.17752
5.66984,4.45298
5.71171,8.98585
5.71309,3.97589
5.71458,3.83089
5.71483,5.1881
5.71486,4.47055
5.7617,8.99613
5.76308,3.95326
5.76457,3.80531
5.76482,5.19985
5.76485,4.49
5.76669,8.99715
5.76807,3.95099
5.76956,3.80274
5.76981,5.20102
5.76984,4.49194
5.81171,9.00636
5.81202,9.00636
5.81309,3.93056
