time,ut_id,visible_count,closest_sat_id,distance_km
144.1,16,4,0,1263.31
144.1,18,3,0,1368.82
144.1,20,6,1,1278.13
145.1,12,3,0,1288.62
145.1,14,3,0,1347.43
145.1,16,4,0,1261.78
145.1,18,3,0,1369.55
145.1,20,6,1,1280.36
146.1,12,3,0,1289.97
146.1,14,3,0,1348.63
146.1,16,4,0,1260.28
146.1,18,3,0,1370.3
146.1,20,6,1,1282.61
147.1,12,3,0,1291.35
147.1,14,3,0,1349.86
147.1,16,4,0,1258.81
147.1,18,3,0,1371.09
147.1,20,6,1,1284.89
148.1,12,3,0,1292.77
148.1,14,3,0,1351.13
148.1,16,4,0,1257.37
148.1,18,3,0,1371.9
148.1,20,6,1,1287.2
149.1,12,3,0,1294.21
149.1,14,3,0,1352.42
149.1,16,4,0,1255.97
149.1,18,3,0,1372.75
149.1,20,6,1,1289.54
150.1,12,3,0,1295.68
150.1,14,3,0,1353.73
150.1,16,4,0,1254.59
150.1,18,3,0,1373.62
150.1,20,6,1,1291.9
151.1,12,3,0,1297.18
151.1,14,3,0,1355.08
151.1,16,4,0,1253.24
151.1,18,3,0,1374.52
151.1,20,6,1,1294.29
152.1,12,3,0,1298.71
152.1,14,3,0,1356.46
152.1,16,4,0,1251.93
152.1,18,3,0,1375.45
152.1,20,6,1,1296.71
153.1,12,3,0,1300.27
153.1,14,3,0,1357.86
153.1,16,4,0,1250.64
153.1,18,3,0,1376.4
153.1,20,6,1,1299.15
154.1,12,3,0,1301.86
154.1,14,3,0,1359.29
154.1,16,4,0,1249.39
154.1,18,3,0,1377.39
154.1,20,6,1,1301.62
155.1,12,3,0,1303.47
155.1,14,3,0,1360.75
155.1,16,4,0,1248.17
155.1,18,3,0,1378.4
155.1,20,6,3,1302.26
156.1,12,3,0,1305.12
156.1,14,3,0,1362.24
156.1,16,4,0,1246.97
156.1,18,3,0,1379.45
156.1,20,6,3,1300.89
157.1,12,3,0,1306.79
157.1,14,3,0,1363.75
157.1,16,4,0,1245.81
157.1,18,3,0,1380.52
157.1,20,6,3,1299.56
158.1,12,3,0,1308.5
158.1,14,3,0,1365.29
158.1,16,4,0,1244.68
158.1,18,3,0,1381.61
158.1,20,6,3,1298.25
159.1,12,3,0,1310.23
159.1,14,3,0,1366.86
159.1,16,4,0,1243.59
159.1,18,3,0,1382.74
159.1,20,6,3,1296.97
160.1,12,3,0,1311.99
160.1,14,3,0,1368.46
160.1,16,4,0,1242.52
160.1,18,3,0,1383.9
160.1,20,6,3,1295.73
161.1,12,3,0,1313.78
161.1,14,3,0,1370.09
161.1,16,4,0,1241.49
161.1,18,3,0,1385.08
161.1,20,6,3,1294.51
162.1,12,3,0,1315.59
162.1,14,3,0,1371.74
162.1,16,4,0,1240.48
162.1,18,3,0,1386.29
162.1,20,6,3,1293.33
163.1,12,3,0,1317.44
163.1,14,3,0,1373.42
163.1,16,4,0,1239.51
163.1,18,3,0,1387.53
163.1,20,6,3,1292.17
