time_sec,rx_power_watts
17.7696,2.4681e-20
17.8148,2.38026e-20
17.8248,2.33065e-20
17.8348,2.32124e-20
17.8449,2.40973e-20
17.8548,2.24214e-20
17.8648,1.96462e-20
17.8696,1.94644e-20
17.9148,1.80848e-20
17.9648,1.94538e-20
17.9696,1.99122e-20
18.0148,2.62323e-20
18.0248,2.78128e-20
18.0348,2.65034e-20
18.0448,2.6794e-20
18.0548,2.9652e-20
18.0648,3.13177e-20
18.0696,3.12913e-20
18.1148,3.15752e-20
18.1649,2.85303e-20
18.1696,2.85926e-20
18.2149,2.33518e-20
18.2249,2.14562e-20
18.2348,1.7911e-20
18.2448,1.62671e-20
18.2549,1.61555e-20
18.2649,1.47584e-20
18.2696,1.40654e-20
18.3148,1.68625e-20
18.3648,1.86886e-20
18.3696,1.85384e-20
18.4149,2.02043e-20
18.4248,2.00755e-20
18.4348,1.92568e-20
18.4448,1.98071e-20
18.4549,2.01784e-20
18.4648,1.86219e-20
18.4696,1.78891e-20
18.5149,2.04183e-20
18.5648,2.63253e-20
18.5696,2.5132e-20
18.6148,3.0473e-20
18.6249,3.25417e-20
18.6349,3.43577e-20
18.6449,3.31754e-20
18.6548,3.27776e-20
18.6649,3.38875e-20
18.6696,3.38519e-20
18.7148,2.67464e-20
18.7648,2.45539e-20
18.7696,2.43689e-20
18.8148,2.11603e-20
18.8249,2.03196e-20
18.8349,2.14521e-20
18.8448,2.22164e-20
18.8548,2.09156e-20
18.8649,1.99241e-20
18.8696,2.01019e-20
18.9149,2.11918e-20
18.9649,2.21788e-20
18.9696,2.38667e-20
19.0149,2.52317e-20
19.0249,2.38203e-20
19.0349,2.36711e-20
19.0449,2.53858e-20
19.0549,2.57174e-20
19.0649,2.5285e-20
19.0696,2.57442e-20
19.1149,3.05388e-20
19.1649,3.09122e-20
19.1696,3.03827e-20
19.2149,2.47438e-20
19.2248,2.42969e-20
19.2349,2.24499e-20
19.2449,1.82496e-20
19.2549,1.62353e-20
19.2648,1.77992e-20
19.2696,1.82531e-20
19.3149,1.54948e-20
19.3649,1.53774e-20
19.3696,1.60298e-20
19.4149,1.42388e-20
19.4249,1.34682e-20
19.4349,1.39547e-20
19.4449,1.41662e-20
19.4549,1.30907e-20
19.4649,1.43446e-20
19.4696,1.56877e-20
19.5149,2.20349e-20
19.5649,2.86188e-20
19.5696,3.02752e-20
19.6149,4.04576e-20
19.6249,3.7629e-20
19.6349,3.76302e-20
19.6448,4.20636e-20
19.6549,4.22729e-20
19.6649,3.94349e-20
19.6696,3.93633e-20
19.7149,3.42072e-20
19.7649,2.40933e-20
19.7696,2.24505e-20
19.8149,1.685e-20
19.8249,1.43362e-20
19.8349,1.36854e-20
19.8449,1.39545e-20
19.8549,1.20115e-20
19.8649,9.51488e-21
19.8696,9.27572e-21
19.9149,1.13125e-20
19.9649,1.19476e-20
19.9696,1.27598e-20
20.0149,1.86267e-20
20.0249,1.84693e-20
20.0349,1.92037e-20
20.0449,2.19813e-20
20.0549,2.28859e-20
20.0649,2.273e-20
20.0696,2.34185e-20
20.1149,3.13949e-20
20.1649,3.2469e-20
20.1696,3.35862e-20
20.2149,3.38943e-20
20.2249,3.2642e-20
20.2349,2.79953e-20
